# A,B,C,D,E,F
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03
1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03,2.090610214240422465e+03
3.222583255174831720e+03,1.843772691958879022e+03,2.332537111502635526e+03,1.949556410576131611e+03,2.474457216646895176e+03,2.474457216646895176e+03
1.843772691958879022e+03,2.474457216646895176e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.473640151406104906e+03
2.332537111502635526e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03
1.473640151406104906e+03,1.843772691958879022e+03,2.090610214240422465e+03,1.843772691958879022e+03,1.949556410576131611e+03,1.843772691958879022e+03
3.269432812142328658e+03,3.368863891181383224e+03,2.999238642292578334e+03,3.816874638848778886e+03,3.545594834692679797e+03,3.784010669023686205e+03
1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03,2.342185476692411612e+03,2.584111170489343749e+03,1.949556410576131611e+03
3.560128007067627550e+03,3.450993746012823067e+03,3.332482795250547497e+03,3.816874638848778886e+03,2.230737784497279790e+03,4.073023010849937236e+03
1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.843772691958879022e+03,2.474457216646895176e+03,1.473640151406104906e+03
2.384208954936921600e+03,2.730932450044600046e+03,2.528967692230947250e+03,2.876853308342600030e+03,1.473640151406104906e+03,2.774843905890881615e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
2.882655091555188847e+03,2.575390242172281432e+03,2.090610214240422465e+03,3.361689911518455119e+03,2.332537111502635526e+03,2.090610214240422465e+03
1.473640151406104906e+03,1.843772691958879022e+03,2.090610214240422465e+03,2.090610214240422465e+03,1.843772691958879022e+03,1.949556410576131611e+03
3.269432812142328658e+03,2.775053981337245204e+03,2.774599523122894425e+03,1.949556410576131611e+03,1.843772691958879022e+03,3.143307033775710806e+03
2.230737784497279790e+03,1.949556410576131611e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.949556410576131611e+03,3.202652083254196441e+03
3.253642838257605945e+03,3.032717147889102307e+03,3.470663218186738050e+03,2.332537111502635526e+03,3.827155292361449938e+03,3.784010669023686205e+03
2.090610214240422465e+03,2.876853308342600030e+03,2.474457216646895176e+03,2.775053981337245204e+03,1.949556410576131611e+03,2.999238642292578334e+03
1.473640151406104906e+03,1.843772691958879022e+03,2.332537111502635526e+03,2.230737784497279790e+03,1.843772691958879022e+03,1.843772691958879022e+03
1.949556410576131611e+03,1.843772691958879022e+03,2.474457216646895176e+03,3.093191837632285569e+03,2.934826161370746377e+03,1.843772691958879022e+03
3.159456785368984129e+03,3.159456785368984129e+03,2.999238642292578334e+03,3.704196398550760932e+03,3.639614303913111144e+03,3.304451410259551267e+03
2.332537111502635526e+03,3.304451410259551267e+03,3.647394161698035532e+03,3.263849599547547768e+03,2.629369010635785799e+03,3.037112427329729144e+03
2.777386718516640940e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03
2.474457216646895176e+03,2.629369010635785799e+03,2.090610214240422465e+03,2.774599523122894425e+03,3.269432812142328658e+03,2.090610214240422465e+03
1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.949556410576131611e+03,1.843772691958879022e+03,2.090610214240422465e+03
1.843772691958879022e+03,2.730932450044600046e+03,2.994843362851951497e+03,2.629369010635785799e+03,2.893044035846595762e+03,2.090610214240422465e+03
1.949556410576131611e+03,1.843772691958879022e+03,1.949556410576131611e+03,1.473640151406104906e+03,2.090610214240422465e+03,2.090610214240422465e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
2.934826161370746377e+03,1.843772691958879022e+03,1.949556410576131611e+03,2.090610214240422465e+03,1.843772691958879022e+03,1.949556410576131611e+03
1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,2.730932450044600046e+03,1.473640151406104906e+03
3.684611394065740569e+03,3.222583255174831720e+03,3.335697759879026307e+03,3.741413630918465969e+03,2.584111170489343749e+03,2.686600843305591297e+03
